name,description,era,what_happened,question_variations
"Dambadeniya Kingdom","Capital during mid-medieval era protecting Buddhism","1220–1345","• Kings shifted capital from Polonnaruwa to Dambadeniya|• Parakramabahu II restored Buddhism and literature|• Protected Tooth Relic|• Strengthened Sinhala culture","What is Dambadeniya Kingdom?|Tell me about Dambadeniya era|Explain history of Dambadeniya|Who ruled Dambadeniya?"
"Gampola Kingdom","Hill country kingdom after Dambadeniya","1341–1415","• Founded by Bhuvanaikabahu IV|• Notable for Lankathilaka and Gadaladeniya temples|• Frequent South Indian attacks|• Led to shift again to Kotte","What is Gampola Kingdom?|Tell me about Gampola era|Explain Gampola history|Who ruled Gampola?"
"Lankathilaka Temple","Elegant temple showing mixed Sinhala–South Indian architecture","14th century AD","• Built by King Bhuvanaikabahu IV|• Designed by South Indian architect Sthapati Rayar|• Features impressive stone carvings|• Important Buddhist worship site","What is Lankathilaka Temple?|Explain Lankathilaka architecture|Tell me about Gampola temple|Why is Lankathilaka important?"
"Gadaladeniya Temple","Rock temple built in South Indian architectural style","14th century AD","• Constructed by King Bhuvanaikabahu IV|• Dedicated to Buddha and Vishwakarma|• Stone pillars and carvings show Dravidian style|• Located on a hilltop","What is Gadaladeniya Temple?|Tell me about Gadaladeniya rock temple|Explain Gadaladeniya’s history|Why is Gadaladeniya important?"
"Panadura Debate","Major 19th-century debate between Buddhist monks and Christian missionaries","1873","• Heated debate between Mohottiwatte Gunananda Thero and missionaries|• Strengthened Buddhist revival movement|• Inspired Anagarika Dharmapala|• Noted internationally","What is Panadura Debate?|Tell me about Buddhist revival|Explain 1873 debate|Why was Panadura Debate important?"
"Reign of King Moggallana II","King known for defeating invader Pandu and stabilizing the country","531–551 AD","• Moggallana II defeated rival Pandu|• Restored order in Anuradhapura|• Built reservoirs and monasteries|• Encouraged learning and Buddhism","Who was King Moggallana II?|Tell me about Moggallana’s reign|Explain Moggallana’s achievements|When did Moggallana rule?"
"Veddas – Indigenous People","Original inhabitants of Sri Lanka with unique culture","Pre-historic – Present","• Hunter-gatherer lifestyle|• Use traditional bow and arrow hunting|• Speak Vedda language influenced by Sinhala|• Maintain rituals like Kiri Amma worship|• Live mainly in Dambana region","Who are Veddas of Sri Lanka?|Tell me about Vedda people|Explain Sri Lankan indigenous tribes|What is Vedda culture?"
"Colombo Fort Development","Transformation of colonial fort into modern commercial capital","16th century – Present","• Built initially by Portuguese|• Expanded by Dutch with ramparts|• British modernized into administrative center|• Later became financial hub of Sri Lanka|• Now home to World Trade Center, hotels, and port","What is Colombo Fort?|Tell me about Colombo Fort history|Explain transformation of Colombo Fort|Who built Colombo Fort?"
"Arrival of Prince Vijaya","Legendary founding event of the Sinhala race, marking the beginning of Sri Lanka’s recorded history","543 BC","• Vijaya, banished from India, landed in Sri Lanka with 700 followers|• Met Yaksha queen Kuweni who helped him establish power|• Founded first settlements and began new lineage|• Considered the first king of Sri Lanka","What is Prince Vijaya story?|Tell me about Vijaya’s arrival|How did Sinhala race begin?|Explain Vijaya and Kuweni"
"Kuweni – Yaksha Queen","Legendary queen who aided Vijaya in establishing early settlements","543 BC","• Kuweni helped Vijaya gain control over island|• Betrayed her Yaksha tribe for Vijaya|• Later abandoned by Vijaya for royal marriage|• Her tragic death marks early cultural shift","Who was Kuweni?|Tell me Kuweni story|Explain Yaksha queen history|Why was Kuweni abandoned?"
"Construction of Ruwanwelisaya","One of the most sacred and impressive stupas built by King Dutugemunu","161 BC","• Dutugemunu built massive white stupa as symbol of unity|• Enshrined relics of Buddha|• Construction involved thousands of workers|• Still an iconic monument today","What is Ruwanwelisaya?|Tell me about Dutugemunu’s stupa|Explain significance of Ruwanwelisaya|Why is Ruwanweli sacred?"
"Abhayagiri Vihara","Major monastic institution known for international Buddhist learning","1st century BC","• Founded by King Valagamba|• Became center of Abhayagiri fraternity|• Known for scholarly research and foreign monks|• Rival school to Mahavihara","What is Abhayagiri?|Explain Abhayagiri monastery|Tell me Abhayagiri history|Why was Abhayagiri important?"
"Lovamahapaya (Brazen Palace)","Ancient palace-like structure with 1,600 pillars supporting nine-story monastic building","2nd century BC","• Built by King Dutugemunu|• Roof made of bronze tiles|• Served as residence for 1,000 monks|• Later destroyed and rebuilt multiple times","What is Lovamahapaya?|Tell me about Brazen Palace|Explain Lovamahapaya history|Why was Lovamahapaya important?"
"Thuparamaya","First stupa in Sri Lanka after introduction of Buddhism","247 BC","• Built by King Devanampiyatissa|• Enshrines Buddha’s right collarbone relic|• First dagoba constructed under direct Buddhist influence|• Important pilgrimage site","What is Thuparamaya?|Tell me about first stupa|Explain Thuparamaya history|Why is Thuparamaya sacred?"
"Gal Vihara","Rock temple in Polonnaruwa with four giant Buddha statues","12th century AD","• Built by Parakramabahu I|• Features standing, seated, and reclining statues|• Masterpiece of Sinhalese rock carving|• Reflects artistic peak of Polonnaruwa era","What is Gal Vihara?|Tell me about Polonnaruwa statues|Explain Gal Vihara history|Why is Gal Vihara important?"
"Vatadage of Polonnaruwa","Ancient circular relic house with exquisite carvings","12th century AD","• Built during Polonnaruwa era|• Protected sacred relics|• Features moonstones, guardstones, and stone pillars|• Example of round-shrine architecture","What is Polonnaruwa Vatadage?|Tell me about Vatadage history|Explain Vatadage design|Why is Vatadage famous?"
"Nissanka Latha Mandapaya","Unique pillared structure with lotus-stalk columns","12th century AD","• Built by King Nissanka Malla|• Used for reciting Buddhist scriptures|• Columns carved like bending lotus stems|• Rare architectural form","What is Nissanka Latha Mandapaya?|Tell me about lotus-pillared house|Explain Nissanka Malla structure|Why is Latha Mandapaya special?"
"Sandakada Pahana (Moonstone)","Iconic semi-circular stone carving used at entrances","Anuradhapura–Polonnaruwa periods","• Symbolizes spiritual path from worldly life to nirvana|• Features animals, creepers, lotus designs|• Each ring represents philosophical concept|• Key part of ancient art","What is moonstone of Sri Lanka?|Explain Sandakada Pahana|Tell me about ancient stone carvings|Meaning of Sri Lankan moonstone?"
"Trade Ports of Mantai","Ancient global trading hub on northwest coast","1st century AD – 10th century AD","• Hub for Romans, Arabs, Indians, Chinese traders|• Exported gems, pearls, spices|• Archaeology reveals coins, pottery, beads|• Declined due to invasions and shifting trade routes","What is Mantai port?|Tell me about ancient trade|Explain Sri Lankan trade ports|Why was Mantai important?"
"Sapugaskanda Inscription","Stone inscription revealing early political and religious relations","2nd century AD","• Mentions donations to monasteries|• Shows administrative organization|• Provides insight into early governance|• Important archaeological record","What is Sapugaskanda inscription?|Explain ancient inscriptions|Tell me about early governance|Why is this inscription important?"
"King Sirimeghavanna","Ruler who brought Tooth Relic to Anuradhapura","301–328 AD","• Received Sacred Tooth Relic from India|• Started tradition of Dalada worship|• Strengthened Buddhist institutions|• Built major religious monuments","Who was Sirimeghavanna?|Tell me about Tooth Relic arrival|Explain Sirimeghavanna’s rule|Why is his reign important?"
"Kelaniya Temple Legend","According to chronicle, Buddha visited Kelaniya on third visit","543 BC (traditional)","• Temple built on site of Buddha’s visit|• Famous for Kelaniya paintings|• Annual Duruthu Perahera celebrated|• Symbol of religious harmony","What is Kelaniya Temple story?|Explain Buddha’s visit to Kelaniya|Tell me Kelaniya legend|Why is Kelaniya important?"
"Rise of Kotte Kingdom","Powerful low-country kingdom before Portuguese arrival","14th–16th centuries","• Founded by Alakeshwara clan|• Became major political and trade center|• Faced constant conflict with Sitawaka and foreign powers|• Birthplace of important Sinhala literature","What is Kotte Kingdom?|Tell me about rise of Kotte|Explain Kotte history|Who ruled Kotte?"
"Arrival of Portuguese","First Europeans to establish presence in Sri Lanka","1505 AD","• Portuguese arrived seeking spices|• Formed alliances with local kings|• Took control of coastal areas|• Began colonial influence lasting centuries","When did Portuguese come to Sri Lanka?|Tell me Portuguese arrival story|Explain 1505 event|How did colonization start?"
"Jaffna Kingdom – Cultural Flourish","Period of Tamil cultural and literary development","13th–17th century","• Developed Tamil literature and temples|• Traded with India and Maldives|• Faced invasions from Kotte and Portugal|• Last Tamil kingdom before colonial era","What is Jaffna Kingdom?|Explain Jaffna history|Tell me about Tamil kingdom|Why was Jaffna important?"
"Sri Maha Bodhi Tree","Oldest historically documented living tree planted by humans","288 BC","• Sapling brought by Sangamitta Theri|• Planted by King Devanampiyatissa|• Symbol of Buddhism’s arrival|• Still worshipped today","What is Sri Maha Bodhi?|Tell me Bodhi tree history|Explain sacred Bo tree|Why is Bodhi tree important?"
"Alahana Pirivena","Large monastic university complex in Polonnaruwa","12th century AD","• Built by Parakramabahu I|• Trained monks in medicine, philosophy, languages|• Includes cremation grounds and shrine rooms|• Important archaeological site","What is Alahana Pirivena?|Explain Polonnaruwa monastery|Tell me about Buddhist education|Why was Alahana important?"
"Ussangoda Mythic Site","Unique coastal plateau with red soil linked to ancient legends","Pre-historic","• Soil believed scorched by Ravana’s chariot fire|• Geological mystery with unusual magnetism|• Habitat for rare flora and fauna|• Holds mythological and archaeological interest","What is Ussangoda?|Explain Ussangoda legend|Tell me about red-soil plateau|Why is Ussangoda special?"
"King Devanampiyatissa","The king who embraced Buddhism and transformed Sri Lanka’s spiritual identity","247–207 BC","• Welcomed Arahat Mahinda on Mihintale|• Declared Buddhism state religion|• Established earliest monasteries|• Strengthened peaceful governance|• Marked beginning of Buddhist civilization","Who was King Devanampiyatissa?|Tell me about King Devanampiyatissa|What happened during Devanampiyatissa's reign?"
"King Valagamba","A king who survived invasions, regained the throne, and strengthened Buddhism","89–77 BC","• Faced South Indian invasion and fled|• Returned after 14 years to reclaim throne|• Built Abhayagiri Vihara|• Supported writing down of Tripitaka|• Restored cultural identity","Who was King Valagamba?|Tell me about Valagamba|What did Valagamba do?"
"King Saddhatissa","A wise ruler known for irrigation development and Buddhist reforms","137–119 BC","• Improved reservoirs and tanks|• Promoted peace among monastic groups|• Strengthened agricultural economy","Who was King Saddhatissa?|Explain Saddhatissa|What did King Saddhatissa do?"
"King Mahasena","Known as the greatest irrigation builder in Sri Lankan history","276–303 AD","• Built Minneriya Tank|• Created massive irrigation canals|• Expanded Buddhist institutions|• Known as Minneriya Deviyo","Who was King Mahasena?|Tell me about Mahasena|Explain Minneriya King"
"King Dhatusena","A visionary king who built the Kala Wewa and advanced irrigation","455–473 AD","• Built Kala Wewa reservoir|• Constructed Jaya Ganga canal|• Strengthened agriculture|• Executed by son Kassapa","Who was King Dhatusena?|Explain Dhatusena|What did Dhatusena build?"
"King Kassapa I","Builder of the magnificent Sigiriya rock fortress","473–495 AD","• Created Sigiriya palace|• Built frescoes and mirror wall|• Constructed water gardens|• Ruled from rock citadel after seizing throne","Who was King Kassapa?|Tell me about Kassapa I|Explain the builder of Sigiriya"
"King Aggabodhi II","A king who rebuilt temples and irrigation structures","604–614 AD","• Restored Buddhist temples|• Expanded reservoir systems|• Renewed monastic education","Who was King Aggabodhi II?|Explain Aggabodhi II|Tell me about this king"
"King Agbo II","A ruler known for renovations and religious contributions","608–618 AD","• Repaired stupas|• Restored irrigation tanks|• Supported Buddhist culture","Who was King Agbo II?|Tell me about Agbo II|What did Agbo II do?"
"King Vijayabahu I","The liberator who freed Sri Lanka from Chola rule","1055–1110 AD","• Defeated Cholas|• Restored Sinhalese monarchy|• Revived Buddhist temples|• Strengthened Polonnaruwa","Who was Vijayabahu I?|Explain Vijayabahu I|Tell me about Vijayabahu"
"King Parakramabahu I","The most powerful king of Polonnaruwa, known for engineering and unity","1153–1186 AD","• Unified entire Sri Lanka|• Built Parakrama Samudraya|• Reformed military and administration|• Renovated massive temples","Who was Parakramabahu I?|Explain Parakramabahu Mahā|What did Parakramabahu build?"
"King Nissanka Malla","A king who emphasized justice, welfare, and architecture","1187–1196 AD","• Built stone pillars and audience halls|• Promoted fairness in rule|• Encouraged infrastructure development","Who was Nissanka Malla?|Tell me about Nissanka Malla|Explain this Polonnaruwa king"
"King Bhuvanekabahu I","A medieval king known for irrigation repairs and stability","1272–1284 AD","• Repaired ancient reservoirs|• Strengthened Dambadeniya kingdom|• Supported Buddhist learning","Who was Bhuvanekabahu I?|Tell me about this king|Explain Bhuvanekabahu"
"King Parakramabahu II","A king who defeated Magha and revived literature","1236–1270 AD","• Drove out Kalinga Magha|• Revived Buddhist worship|• Supported literary works like Kavisilumina","Who was Parakramabahu II?|Tell me about Parakramabahu II|Explain this king"
"King Parakramabahu VI","The last king to unite all of Sri Lanka","1412–1467 AD","• United entire island|• Golden age of Kotte literature|• Patron of poets like Thotagamuwe Sri Rahula","Who was Parakramabahu VI?|Explain Kotte kingdom king|Tell me about Parakramabahu VI"
"King Mayadunne","A fierce opponent of Portuguese colonization","1521–1581 AD","• Strengthened Sitawaka kingdom|• Resisted Portuguese invasions|• Expanded military power","Who was King Mayadunne?|Explain Mayadunne|Tell me about Sitawaka king Mayadunne"
"King Rajasinghe I of Sitawaka","A powerful military king who almost defeated the Portuguese","1581–1593 AD","• Led major battles against Portuguese|• Expanded Sitawaka territory|• Known as great strategist","Who was Rajasinghe I?|Tell me about Sitawaka Rajasinghe|Explain Rajasinghe I"
"King Vimaladharmasuriya I","The Kandyan king who restored Buddhism during Portuguese rule","1591–1604 AD","• Retrieved Sacred Tooth Relic|• Built temples|• Strengthened Kandyan independence","Who was Vimaladharmasuriya I?|Explain Vimaladharmasuriya|Tell me about this Kandyan king"
"King Rajasinghe II","A Kandyan king who protected independence through alliances","1635–1687 AD","• Defeated Portuguese with Dutch help|• Preserved local culture|• Built temples and strengthened kingdom","Who was Rajasinghe II?|Explain Rajasinghe II|Tell me about this king"
"King Kirti Sri Rajasinha","A Nayakkar king who revived Buddhism and worked with Thai monks","1747–1782","• Reformed Buddhist ordination|• Invited Siamese monks|• Restored temples and rituals","Who was Kirti Sri Rajasinha?|Explain this Kandyan king|Tell me about Kirti Sri"
"King Sri Vikrama Rajasinha","Last king of Sri Lanka known for architectural works","1798–1815","• Built Kandy Lake|• Preserved art and culture|• Faced British pressure until 1815","Who was Sri Vikrama Rajasinha?|Explain last Sri Lankan king|Tell me about this king"
"Kings of Anuradhapura Kingdom","Ancient Sri Lanka’s first capital with over 100 kings who built stupas, tanks, and Buddhist civilization","377 BC – 1017 AD","• Notable kings: Pandukabhaya, Devanampiyatissa, Dutugemunu, Saddhatissa, Valagamba, Mahasena, Dhatusena|• Built Ruwanwelisaya, Abhayagiri, Jaya Ganga, Minneriya Tank|• Expanded agriculture and irrigation|• Established Buddhism","Who were the kings of Anuradhapura Kingdom?|List Anuradhapura kings|Explain rulers of Anuradhapura"
"Kings of Polonnaruwa Kingdom","Successor to Anuradhapura, ruled by powerful kings who built irrigation marvels and strengthened the nation","1055 – 1236 AD","• Major kings: Vijayabahu I, Parakramabahu I, Nissanka Malla|• Built Parakrama Samudraya|• Unified island under strong administration|• Golden age of architecture","Who were Polonnaruwa kings?|Explain kings of Polonnaruwa|List rulers of Polonnaruwa"
"Kings of Ruhuna Kingdom","Southern-based Sinhalese kingdom that produced great warrior kings","3rd century BC – 13th century AD","• Notable kings: Mahanaga, Kavantissa, Dutugemunu (youth), Saddha Tissa|• Base for rebellions against foreign invasions|• Important military stronghold","Who were the kings of Ruhuna?|Explain Ruhuna rulers|List kings from Ruhuna"
"Kings of Kotte Kingdom","Medieval kingdom known for literature, diplomacy, and unification under Parakramabahu VI","1412 – 1597","• Famous kings: Parakramabahu VI, Bhuvanekabahu VII|• Patronized poets like Thotagamuwe Sri Rahula|• Faced Portuguese arrivals|• Center of classical literature","Who were the kings of Kotte?|Explain rulers of Kotte Kingdom|List Kotte kings"
"Kings of Sitawaka Kingdom","A short-lived but powerful kingdom famous for its resistance to Portuguese rule","1521 – 1593","• Key kings: Mayadunne, Rajasinghe I|• Nearly expelled Portuguese from Sri Lanka|• Built powerful army|• Expanded territories","Who were the kings of Sitawaka?|Explain Sitawaka rulers|List Sitawaka kings"
"Kings of Jaffna Kingdom","A Tamil kingdom in the north known for trade, culture, and Hindu temples","1215 – 1624","• Key kings: Sankili I, Cankili II, Pararajasekaran III|• Controlled northern coasts|• Rich in Hindu culture and maritime trade","Who were the kings of Jaffna?|Explain Jaffna rulers|List kings of Jaffna Kingdom"
"Kings of Kandy Kingdom","The last independent kingdom of Sri Lanka until 1815","1469 – 1815","• Important kings: Vimaladharmasuriya I, Rajasinghe II, Kirti Sri Rajasinha, Sri Vikrama Rajasinha|• Preserved independence from Europeans|• Restored Buddhism with Siamese monks","Who were the kings of Kandy?|Explain Kandyan rulers|List Kandy kings"
"Rulers of the Kingdom of Tambapanni","The very first historical kingdom established by Prince Vijaya","543 – 505 BC","• Founder: Prince Vijaya|• Early chieftains and clan leaders|• Beginning of the Sinhalese civilization","Who ruled Tambapanni?|Explain rulers of Tambapanni|List kings of Tambapanni"
"Kings of Dambadeniya Kingdom","A transitional kingdom that revived Buddhist literature and political stability","1220 – 1293","• Rulers: Vijayabahu III, Parakramabahu II|• Revival of Buddhism|• Creation of Kavisilumina and religious texts","Who were the kings of Dambadeniya?|Explain Dambadeniya rulers|List Dambadeniya kings"
"Kings of Yapahuwa Kingdom","A short-lived kingdom known for its fortress-like architecture","1273 – 1284","• Main king: Bhuvanekabahu I|• Built Yapahuwa rock fortress|• Protected Sacred Tooth Relic|• Militarily strong era","Who were the kings of Yapahuwa?|Explain Yapahuwa rulers|List Yapahuwa kings"
"Kings of Kurunegala Kingdom","A medieval kingdom that bridged Dambadeniya and Gampola eras","1293 – 1341","• Important kings: Bhuvanekabahu II, Parakramabahu IV|• Produced literary works|• Administrative strengthening","Who were the kings of Kurunegala?|Explain rulers of Kurunegala Kingdom|List Kurunegala kings"
"Kings of Gampola Kingdom","Known for artistic, literary, and architectural contributions","1341 – 1412","• Famous kings: Bhuvanekabahu IV, Vikramabahu III, Parakramabahu V|• Built Lankatilaka and Gadaladeniya temples|• Cultural renaissance","Who were the kings of Gampola?|Explain Gampola rulers|List Gampola kings"
"Kings of Raigama Kingdom","A regional kingdom active during the Kotte period","13th – 16th century","• Notable rulers: Mayadunne and local chiefs|• Played role in regional conflicts|• Connected to Sandesha literature","Who were the rulers of Raigama?|Explain Raigama kings|List Raigama rulers"
"Kings of Udarata","Highland rulers synonymous with Kandyan kings","15th – 19th century","• Essentially overlapped with Kandyan kings|• Mountain kingdom protected independence|• Preserved culture and tradition","Who ruled Udarata?|Explain Udarata kings|List Udarata rulers"
"Kings of Malayarata","A sub-kingdom controlling hill regions","Ancient era","• Governed by regional rulers|• Supported main kingdoms|• Strong in agriculture and military","Who were Malayarata kings?|Explain Malayarata rulers|List kings of Malayarata"
"Kings of Maya Rata","One of the three ancient regions of Sri Lanka","Ancient era","• Included parts of modern Western & Southern provinces|• Ruled by chieftains under main kings|• Militarily significant region","Who ruled Maya Rata?|Explain rulers of Maya Rata|List kings of Maya Rata"
"Kings of Pihiti Rata","Northern region during ancient times","Ancient era","• Controlled by Anuradhapura rulers|• Strategic location|• Supported major irrigation systems","Who ruled Pihiti Rata?|Explain Pihiti kings|List rulers of Pihiti Rata"
"Kings of Ruhunu Rata","The southern ancient region known for producing heroic kings","Ancient era","• Birthplace of Dutugemunu|• Strong warrior culture|• Supported agriculture and trade","Who ruled Ruhunu Rata?|Explain Ruhunu rulers|List kings of Ruhunu Rata"
"Kings of Aluth Kuru Rata","Region-based leadership contributing to agriculture and trade","Ancient–Medieval","• Governed by local chiefs|• Supported main capitals|• Important trade locations","Who ruled Aluth Kuru Rata?|Explain Aluth Kuru Rata kings|List rulers of Aluth Kuru Rata"
"Kings of Malwana","A strategic region during Portuguese/Kandyan negotiations","16th – 17th century","• Residence of local rulers|• Meeting point for Kandyan-Portuguese diplomacy|• Politically sensitive area","Who ruled Malwana?|Explain Malwana rulers|List kings of Malwana"
"Ruwanwelisaya Stupa","One of the largest and most sacred Buddhist stupas built by King Dutugemunu, symbol of unity","2nd century BC","• Constructed by King Dutugemunu after unifying Sri Lanka|• 103m height with perfect bubble shape|• Houses sacred relics|• Considered one of world’s tallest ancient monuments","What is Ruwanwelisaya?|Tell me about Ruwanwelisaya|Explain Ruwanwelisaya stupa"
"Jetavanaramaya Stupa","Massive brick stupa considered one of the tallest structures of the ancient world","3rd century AD","• Built by King Mahasena|• Height once reached 122 meters|• Contains millions of baked bricks|• Center for Buddhist learning","What is Jetavanaramaya?|Explain Jetavanaramaya|Tell me about Jetavanaramaya stupa"
"Abhayagiriya Temple Complex","A vast monastic complex and learning center rivaling ancient universities","1st century BC","• Built by King Valagamba|• Home to thousands of monks|• Famous for advanced architecture|• Major center of Theravada & Mahayana studies","What is Abhayagiriya?|Explain Abhayagiri Vihara|Tell me about Abhayagiriya"
"Lovamahapaya (Brazen Palace)","Nine-story palace for Buddhist monks with bronze-tiled roof","2nd century BC","• Built by King Dutugemunu|• Had 1,600 stone pillars|• Served as monk residence|• Roof plated with bronze sheets","What is Lovamahapaya?|Tell me about Brazen Palace|Explain Lovamahapaya"
"Parakrama Samudraya","World-famous inland sea built by King Parakramabahu I","12th century","• Massive reservoir covering 6,500 acres|• Complex canal network|• Motto: 'Not even a drop of water should be wasted'|• Powered entire Polonnaruwa agriculture","What is Parakrama Samudraya?|Explain Parakrama Samudraya|Tell me about Polonnaruwa reservoir"
"Kuttam Pokuna (Twin Ponds)","Architectural masterpiece with symmetrical bathing pools","8th century AD","• Built by Anuradhapura kings|• Advanced filtration system|• Granite craftsmanship|• Used by monks of Abhayagiri","What are Kuttam Pokuna?|Explain Twin Ponds|Tell me about Kuttam Pokuna"
"Sigiriya Fortress","Sky palace and fortress built on a 200m rock","5th century AD","• Built by King Kashyapa|• Features mirror wall, frescoes, lion gate|• Advanced hydraulics and gardens|• UNESCO World Heritage Site","What is Sigiriya?|Explain Sigiriya fortress|Tell me about Sigiriya rock"
"Thuparamaya","First Buddhist stupa in Sri Lanka","3rd century BC","• Built by King Devanampiyatissa|• Enshrines Buddha’s collarbone relic|• Marked beginning of Buddhist construction tradition","What is Thuparamaya?|Tell me about Thuparamaya|Explain Thuparamaya stupa"
"Kala Wewa","Huge reservoir system built for agricultural expansion","5th century AD","• Built by King Dhatusena|• Connected via Jaya Ganga canal to Tissa Wewa|• Enabled massive paddy cultivation","What is Kala Wewa?|Explain Kalawewa|Tell me about Kala Wewa reservoir"
"Jaya Ganga Canal","Engineering marvel transporting water across 87 km with perfect gradient","5th century AD","• Built by King Dhatusena|• Only 6-inch gradient per mile|• Supplies water from Kala Wewa to Anuradhapura|• Still functions today","What is Jaya Ganga?|Explain Jaya Ganga canal|Tell me about Yodha Ela"
"Minneriya Tank","Ancient reservoir built by King Mahasena","3rd century AD","• Supports Minneriya National Park ecosystem|• Giant reservoir known as ‘Mahasen Wewa’|• Used for irrigation and agriculture","What is Minneriya Tank?|Explain Minneriya Wewa|Tell me about Minneriya reservoir"
"Nuwara Wewa","Large man-made reservoir supporting ancient Anuradhapura","2nd century BC","• Built by King Valagamba|• Major water source for Anuradhapura city|• Part of advanced hydraulic network","What is Nuwara Wewa?|Explain Nuwara Wewa|Tell me about Nuwara reservoir"
"Tissa Wewa","Ancient reservoir built in early Anuradhapura age","3rd century BC","• Built by King Devanampiyatissa|• Irrigated farmlands & supported Mahamewna Gardens","What is Tissa Wewa?|Explain Tissa Wewa|Tell me about Tissa reservoir"
"Ranmasu Uyana","Royal leisure garden with mysterious ‘Stargate’ carvings","3rd century BC","• Built by Anuradhapura kings|• Bathing ponds and stone architecture|• Features Sakwala Chakraya carvings","What is Ranmasu Uyana?|Explain Ranmasu Uyana|Tell me about Sakwala Chakraya"
"Lankatilaka Temple","Majestic temple from Gampola era with towering walls","14th century AD","• Built by King Bhuvanekabahu IV|• Blend of Hindu & Buddhist architecture|• Giant Buddha statues inside","What is Lankatilaka Temple?|Explain Lankatilaka|Tell me about Lankatilaka Vihara"
"Gadaladeniya Temple","Stone temple built in South Indian architectural style","14th century AD","• Built by Gampola kings|• Crafted mainly in granite|• Influenced by Hindu architecture","What is Gadaladeniya?|Explain Gadaladeniya Temple|Tell me about Gadaladeniya Vihara"
"Ambuluwawa Tower","Unique multi-religious biodiversity tower and temple complex","13th century AD","• Built during King Buvanekabahu IV era|• Symbolizes unity of religions|• Spiral tower admired by visitors","What is Ambuluwawa Tower?|Explain Ambuluwawa|Tell me about Ambuluwawa complex"
"Dambulla Cave Temple","Largest and best-preserved cave temple complex","1st century BC","• Renovated by King Valagamba|• Includes 150+ Buddha statues|• Beautiful murals on ceilings","What is Dambulla Cave Temple?|Explain Dambulla Temple|Tell me about Golden Temple Dambulla"
"Yapahuwa Fortress","Rock fortress with stunning stone staircase","13th century AD","• Built by King Bhuvanekabahu I|• Housed Sacred Tooth Relic temporarily|• Military stronghold with steep defenses","What is Yapahuwa?|Explain Yapahuwa Fortress|Tell me about Yapahuwa Kingdom fort"
"Kandy Palace (Royal Palace)","Last royal palace of Sri Lankan kings","17th century AD","• Built by Kandyan kings|• Residence of King Sri Vikrama Rajasinha|• Part of Temple of the Tooth complex","What is Kandy Royal Palace?|Explain Kandy Palace|Tell me about Kandyan royal palace"
"Portuguese Arrival in Sri Lanka","The beginning of European influence in Sri Lanka, starting with Portuguese traders and colonizers","1505 – 1658","• Portuguese arrived in 1505 accidentally in Colombo|• Established trade relations and coastal forts|• Converted locals to Catholicism|• Controlled spice trade, especially cinnamon|• Clashed with Sinhalese kingdoms of Kotte and Kandy","When did Portuguese come to Sri Lanka?|Tell me about Portuguese arrival|Explain Portuguese influence in Sri Lanka"
"Portuguese Colonization","Period when Portuguese controlled coastal areas of Sri Lanka and influenced culture and politics","1505 – 1658","• Built forts in Colombo, Galle, and Jaffna|• Spread Catholic religion and European customs|• Introduced new crops, architecture, and weapons|• Caused conflicts with Sinhalese kingdoms|• Eventually ousted by Dutch in 1658","What happened during Portuguese colonization?|Explain Portuguese rule in Sri Lanka|Tell me about Portuguese influence"
"Dutch Arrival in Sri Lanka","The arrival of the Dutch as a replacement for Portuguese control, via East India Company","1602 – 1796","• Dutch East India Company arrived to expand trade|• Formed alliances with Kandyan Kingdom to oust Portuguese|• Controlled coastal areas and forts|• Introduced Calvinism and new legal systems|• Strengthened maritime trade","When did Dutch arrive in Sri Lanka?|Tell me about Dutch arrival|Explain Dutch influence in Sri Lanka"
"Dutch Colonization","Period when Dutch controlled coastal areas and trade in Sri Lanka","1658 – 1796","• Took over Portuguese forts and trade routes|• Imposed taxes and monopolies on cinnamon|• Introduced new administrative systems and land surveys|• Built churches and schools|• Collaborated with Kandyan Kingdom diplomatically","What happened during Dutch colonization?|Explain Dutch rule in Sri Lanka|Tell me about Dutch influence"
"British Arrival in Sri Lanka","Beginning of British presence replacing Dutch power","1796 – 1948","• British took control of Dutch territories in 1796|• Managed trade and administration|• Signed treaties with Kandyan kings|• Expanded influence inland over time","When did British come to Sri Lanka?|Tell me about British arrival|Explain British influence in Sri Lanka"
"British Colonization","Period when British ruled Sri Lanka, bringing political, economic, and social changes","1796 – 1948","• Abolished slavery and feudal systems|• Introduced plantations for coffee, tea, and rubber|• Built roads, railways, and ports|• Westernized education and legal system|• Annexed Kandyan Kingdom in 1815|• Led to independence movements","What happened during British colonization?|Explain British rule in Sri Lanka|Tell me about British influence"
"Ceylon under Portuguese","Portuguese rule of coastal areas, impacting politics, trade, and religion","1505 – 1658","• Portuguese controlled coastal towns|• Introduced European weapons and ships|• Converted locals to Catholicism|• Influenced trade, especially cinnamon and spices","What was Ceylon under Portuguese?|Explain Portuguese Ceylon|Tell me about Portuguese period"
"Ceylon under Dutch","Dutch control over coastal trade regions with administration and taxation","1658 – 1796","• Dutch East India Company monopolized trade|• Strengthened fortifications and military presence|• Introduced Protestant religion|• Managed taxes and surveys of local lands","What was Ceylon under Dutch?|Explain Dutch Ceylon|Tell me about Dutch period"
